CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
09-NOV-17 05.50.59.426000000 AM,39,1,17.5900001525879
09-NOV-17 05.50.59.426000000 AM,39,5,17.5200004577637
09-NOV-17 05.50.59.613000000 AM,39,3,54.2999992370605
09-NOV-17 05.50.59.613000000 AM,39,7,46.5599975585938
09-NOV-17 05.57.27.229000000 AM,39,4,39.75
09-NOV-17 05.57.27.229000000 AM,39,0,39.0299987792969
09-NOV-17 05.57.30.240000000 AM,39,0,57.0200004577637
09-NOV-17 05.57.30.240000000 AM,39,4,56.6800003051758
09-NOV-17 06.27.20.679000000 AM,39,3,53.2099990844727
09-NOV-17 06.27.20.679000000 AM,39,7,41.129997253418
09-NOV-17 06.27.23.674000000 AM,39,7,46.5599975585938
09-NOV-17 06.27.23.674000000 AM,39,3,54.2999992370605
09-NOV-17 06.47.55.504000000 AM,39,5,15.0899991989136
09-NOV-17 06.47.55.504000000 AM,39,1,15.0799999237061
09-NOV-17 06.47.55.707000000 AM,39,7,41.129997253418
09-NOV-17 06.47.55.707000000 AM,39,3,53.2099990844727
09-NOV-17 06.47.58.515000000 AM,39,1,17.5200004577637
09-NOV-17 06.47.58.515000000 AM,39,5,17.5200004577637
09-NOV-17 06.47.58.703000000 AM,39,3,54.2999992370605
09-NOV-17 06.47.58.703000000 AM,39,7,46.5599975585938
09-NOV-17 06.48.19.716000000 AM,39,3,53.0799980163574
09-NOV-17 06.48.19.716000000 AM,39,7,41.129997253418
09-NOV-17 06.48.22.711000000 AM,39,7,46.5599975585938
09-NOV-17 06.48.22.711000000 AM,39,3,54.2999992370605
09-NOV-17 06.51.52.720000000 AM,39,3,52.939998626709
09-NOV-17 06.51.52.720000000 AM,39,7,28.3699989318848
09-NOV-17 06.51.55.715000000 AM,39,7,46.5599975585938
09-NOV-17 06.51.55.715000000 AM,39,3,54.2999992370605
09-NOV-17 07.16.12.749000000 AM,39,7,34.2099990844727
09-NOV-17 07.16.12.749000000 AM,39,3,45.6100006103516
09-NOV-17 07.16.15.759000000 AM,39,3,54.2999992370605
09-NOV-17 07.16.15.759000000 AM,39,7,46.5599975585938
09-NOV-17 07.36.56.779000000 AM,39,3,53.2099990844727
09-NOV-17 07.36.56.779000000 AM,39,7,41.129997253418
09-NOV-17 07.36.59.789000000 AM,39,7,46.5599975585938
09-NOV-17 07.36.59.789000000 AM,39,3,54.2999992370605
09-NOV-17 07.57.34.417000000 AM,39,4,56.4699974060059
09-NOV-17 07.58.34.436000000 AM,39,0,57.2199974060059
09-NOV-17 08.15.36.004000000 AM,39,3,53.2099990844727
09-NOV-17 08.15.36.004000000 AM,39,7,41.129997253418
09-NOV-17 08.15.38.999000000 AM,39,3,54.2999992370605
09-NOV-17 08.15.38.999000000 AM,39,7,46.5599975585938
09-NOV-17 08.48.41.854000000 AM,39,5,17.4599990844727
09-NOV-17 09.15.16.699000000 AM,39,4,53.8199996948242
09-NOV-17 09.15.16.699000000 AM,39,0,50.8899993896484
09-NOV-17 09.15.19.694000000 AM,39,0,57.0200004577637
09-NOV-17 09.15.19.694000000 AM,39,4,56.6800003051758
09-NOV-17 09.21.17.904000000 AM,39,5,15.0899991989136
09-NOV-17 09.21.17.904000000 AM,39,1,15.0799999237061
09-NOV-17 09.21.20.899000000 AM,39,5,17.5200004577637
09-NOV-17 09.21.20.899000000 AM,39,1,17.5200004577637
09-NOV-17 09.34.15.725000000 AM,39,4,51.9899978637695
09-NOV-17 09.34.15.725000000 AM,39,0,26.769998550415
09-NOV-17 09.34.18.720000000 AM,39,4,56.6800003051758
09-NOV-17 09.34.18.720000000 AM,39,0,57.0200004577637
09-NOV-17 10.06.30.168000000 AM,39,3,53.0799980163574
09-NOV-17 10.06.30.168000000 AM,39,7,41.129997253418
09-NOV-17 10.06.33.163000000 AM,39,3,54.439998626709
09-NOV-17 10.06.33.163000000 AM,39,7,46.5599975585938
09-NOV-17 10.14.58.170000000 AM,39,7,41.129997253418
09-NOV-17 10.14.58.170000000 AM,39,3,53.2099990844727
09-NOV-17 10.15.01.181000000 AM,39,7,46.5599975585938
09-NOV-17 10.15.01.181000000 AM,39,3,54.2999992370605
09-NOV-17 11.00.04.850000000 AM,39,0,55.5900001525879
09-NOV-17 11.00.04.850000000 AM,39,4,55.25
